,brand,model,model_year,milage,fuel_type,engine,transmission,accident,clean_title,price
2336,Porsche,911 Turbo Cabriolet,2008,51000,Gasoline,480.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Reported,Yes,69500
2337,Hummer,H3 Base,2007,137333,Gasoline,242.0HP 3.7L 5 Cylinder Engine Gasoline Fuel,4-Speed A/T,Reported,Yes,10000
2338,Buick,LaCrosse Leather,2014,125559,Gasoline,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Reported,Yes,11200
2339,Chevrolet,Silverado 1500 High Country,2020,88161,Gasoline,6.2L V8 16V GDI OHV,Automatic,Reported,Yes,48889
2340,Toyota,4Runner SR5,2016,101900,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,None,Yes,29000
2341,Cadillac,Escalade ESV Luxury,2015,159500,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Reported,Yes,18800
2342,Subaru,Legacy 2.5i Premium,2015,68860,Gasoline,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Reported,Yes,15000
2343,Tesla,Model 3 Long Range,2018,43000,Gasoline,271.0HP Electric Motor Electric Fuel System,1-Speed A/T,Reported,Yes,30499
2344,Ford,Expedition EL XLT,2017,182000,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Reported,Yes,16500
2345,Tesla,Model Y Long Range,2022,21404,Gasoline,425.0HP Electric Motor Electric Fuel System,A/T,None,Yes,49500
2346,Ford,Expedition EL Limited,2017,81000,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None,Yes,27000
2347,Chevrolet,Silverado 1500 LTZ,2021,62257,Gasoline,5.3L V8 16V GDI OHV,8-Speed Automatic,None,Unknown,42590
2348,BMW,X5 xDrive40e,2016,91798,Hybrid,Electric,Automatic,None,Unknown,22998
2349,BMW,335 is,2011,82000,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Reported,Yes,20000
2350,Ford,F-150 XLT,2012,207100,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Reported,Yes,15000
2351,Land,Rover Range Rover Sport P400 SE Dynamic,2023,450,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,None,Yes,124000
2352,Porsche,Panamera Edition,2016,77945,Gasoline,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Reported,Yes,30000
2353,Kia,Sorento Plug-In Hybrid SX,2022,15583,Hybrid,1.6L I4 16V GDI DOHC Turbo Hybrid,6-Speed Automatic,None,Unknown,40599
2354,BMW,M240 i,2017,37100,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Reported,Yes,26125
2355,Maserati,Quattroporte Base,2006,51000,Gasoline,394.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Reported,Yes,18000
2356,Ford,F-150 XLT,2017,94000,Gasoline,325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None,Yes,26000
2357,Land,Rover Discovery S,2003,121886,Gasoline,217.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Reported,Yes,6000
2358,Ford,F-250 XLT Crew Cab Super Duty,2008,157500,Gasoline,300.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Reported,Yes,15000
2359,Ford,Taurus SHO,2014,138415,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Reported,Yes,15500
2360,Land,Rover Range Rover Sport HSE,2012,110000,Gasoline,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,None,Yes,10200
2361,Cadillac,Escalade Sport,2023,8532,Diesel,3.0L I6 24V DDI DOHC Turbo Diesel,10-Speed Automatic with Overdrive,None,Unknown,109900
2362,GMC,Sierra 1500 SLT,2021,12941,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Reported,Yes,51500
2363,BMW,335 i xDrive,2009,69764,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,None,Yes,19500
2364,Porsche,911 Carrera 4S,2003,90000,Gasoline,315.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Unknown,Unknown,24000
2365,Audi,Q5 S line Premium,2022,8193,Hybrid,2.0 Liter TFSI,Automatic,None,Unknown,42598
2366,Lexus,RX 350 F Sport Performance,2020,43277,Gasoline,3.5L V6 24V PDI DOHC,8-Speed Automatic,None,Unknown,43599
2367,Audi,S4 3.0T Premium Plus,2018,26500,Gasoline,354.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Reported,Yes,38000
2368,Chevrolet,Silverado 1500 LT,2019,36021,Gasoline,2.7L I4 16V GDI DOHC Turbo,Automatic,Unknown,Unknown,35670
2369,Chevrolet,Colorado Z71,2019,25462,Gasoline,3.6L V6 24V GDI DOHC,Automatic,None,Unknown,36139
2370,Audi,A5 2.0T Prestige,2018,35850,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,None,Yes,33000
2371,Mazda,Mazda3 s Sport,2008,77700,Gasoline,156.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,None,Yes,6300
2372,Jaguar,E-PACE 300 Sport,2021,23600,Hybrid,296.0HP 2.0L 4 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,None,Yes,42999
2373,Ferrari,GTC4Lusso T,2019,8870,Gasoline,3.9L V8 32V GDI DOHC Twin Turbo,7-Speed DCT Automatic,None,Yes,215000
2374,Toyota,Celica GT,2001,122000,Gasoline,140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,None,Yes,7800
2375,Ford,Excursion Limited 4WD,2003,245000,Diesel,325.0HP 6.0L 8 Cylinder Engine Diesel Fuel,A/T,Reported,Yes,17999
2376,Porsche,718 Spyder Base,2022,4700,Gasoline,414.0HP 4.0L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,None,Yes,134000
2377,Subaru,WRX STI Base,2016,84100,Gasoline,305.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,M/T,None,Yes,34000
2378,Audi,A6 45 Premium Plus,2021,33000,Hybrid,248.0HP 2.0L 4 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,None,Yes,40000
2379,Tesla,Model S P100D,2018,10065,Gasoline,Electric,1-Speed Automatic,None,Unknown,59999
2380,Mercedes-Benz,AMG GT R,2018,3811,Gasoline,577.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,None,Yes,148500
2381,Acura,RDX PMC Edition,2021,44457,Gasoline,2.0 Liter Turbo,2,None,Unknown,40598
2382,Audi,S4 3.0T Premium Plus,2013,139355,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,None,Yes,20900
2383,Lotus,Evora Base,2010,9100,Gasoline,276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,None,Yes,55000
2384,Mercedes-Benz,S-Class S 560 4MATIC,2019,10500,Gasoline,463.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,None,Yes,77900
2385,Chevrolet,Silverado 1500 RST,2023,5006,Gasoline,5.3L V8 16V GDI OHV,10-Speed Automatic,None,Unknown,59590
2386,Hyundai,Genesis Coupe 2.0T R-Spec,2013,55000,Gasoline,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Unknown,Unknown,18000
2387,BMW,M3 Competition,2021,33500,Gasoline,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None,Yes,71000
2388,BMW,435 i,2014,126500,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,None,Yes,15000
2389,Land,Rover Range Rover Evoque HSE Dynamic,2016,79000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,None,Yes,24000
2390,Porsche,911 Targa 4 GTS,2018,19000,Gasoline,450.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,None,Yes,145000
2391,RAM,3500 Tradesman,2021,57000,Diesel,400.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,6-Speed A/T,None,Yes,52000
2392,BMW,X5 xDrive40i,2020,4880,Gasoline,3.0 Liter Turbo,Automatic,None,Unknown,57998
2393,Acura,NSX Base,2018,6523,Hybrid,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,9-Speed Automatic with Auto-Shift,None,Unknown,143900
2394,Mercedes-Benz,SL-Class SL500 Roadster,2005,127000,Gasoline,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,None,Yes,14000
2395,Lexus,SC 430 Base,2002,89500,Gasoline,300.0HP 4.3L 8 Cylinder Engine Gasoline Fuel,A/T,None,Yes,15999
2396,Chevrolet,Silverado 1500 Base,2000,97000,Gasoline,200.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,A/T,None,Yes,27500
2397,Buick,Enclave Avenir,2021,31181,Gasoline,3.6L V6 24V GDI DOHC,9-Speed Automatic,Reported,Yes,42442
2398,Lexus,NX 300h Base,2020,16425,Hybrid,2.5L I4 16V MPFI DOHC Hybrid,Automatic CVT,Reported,Unknown,33200
2399,Lexus,RX 350 RX 350 F SPORT Handling,2022,11238,Gasoline,3.5 Liter DOHC,Automatic,None,Unknown,54798
2400,Chevrolet,Avalanche 1500 LS,2005,97146,E85 Flex Fuel,295.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,Transmission Overdrive Switch,Reported,Yes,7999
2401,Mercedes-Benz,SL-Class SL400,2015,36670,Gasoline,3.0 Liter,Automatic,None,Unknown,39998
2402,Chevrolet,Suburban Premier,2019,44800,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,None,Yes,52500
2403,Ford,Transit-350 Base,2015,150000,Gasoline,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Reported,Yes,17100
2404,INFINITI,QX60 Luxe,2020,38400,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,None,Yes,32100
2405,Bentley,Continental GTC Base,2008,7960,Gasoline,552.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,6-Speed A/T,None,Yes,81500
2406,Nissan,350Z Enthusiast,2007,117000,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Reported,Yes,9975
2407,Rivian,R1S Adventure Package,2023,159,Gasoline,533.0HP Electric Motor Electric Fuel System,A/T,None,Yes,95500
2408,McLaren,570S Base,2017,30200,Gasoline,562.0HP 3.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None,Yes,139000
2409,Nissan,Altima 2.5 SL,2012,91545,Gasoline,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,None,Yes,8999
2410,Land,Rover Range Rover 5.0L Supercharged,2015,110000,E85 Flex Fuel,510.0HP 5.0L 8 Cylinder Engine Flex Fuel Capability,A/T,Reported,Yes,26499
2411,BMW,X5 xDrive35i,2017,105100,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Reported,Yes,23300
2412,INFINITI,QX56 Base,2012,110000,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None,Yes,15600
2413,Ford,F-150 XLT,2019,81778,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,None,Yes,32769
2414,Lexus,RX 450h Base,2010,168422,Hybrid,245.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,A/T,Reported,Yes,10900
2415,Maserati,Ghibli S Q4 GranSport,2018,80500,Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None,Yes,34900
2416,Volvo,XC90 T6 Momentum,2018,81200,Gasoline,316.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Reported,Yes,28825
2417,Lamborghini,Huracan EVO Base,2020,6246,Gasoline,5.2L V10 40V GDI DOHC,7-Speed Automatic with Auto-Shift,None,Yes,267950
2418,Jeep,Wrangler Unlimited Rubicon,2017,20172,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None,Yes,47500
2419,Hummer,H2 Base,2005,145000,Gasoline,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,None,Yes,22500
2420,Ford,Flex Limited,2009,162000,Gasoline,262.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Reported,Yes,7500
2421,Porsche,718 Cayman GT4,2020,13554,Gasoline,414.0HP 4.0L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,None,Yes,124995
2422,Toyota,Camry XLE,2007,59700,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None,Yes,9500
2423,Mercedes-Benz,A-Class A 220 4MATIC,2020,30930,Gasoline,2.0L I4 16V GDI DOHC Turbo,7-Speed Automatic with Auto-Shift,None,Unknown,28900
2424,BMW,335 i,2009,51983,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,None,Yes,19999
2425,Chevrolet,Camaro 2SS,2022,22000,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,None,Yes,50000
2426,Volkswagen,ID.4 Pro S,2023,16800,Gasoline,295.0HP Electric Motor Electric Fuel System,1-Speed A/T,None,Yes,45000
2427,Chevrolet,Silverado 2500 High Country,2022,16000,Diesel,445.0HP 6.6L 8 Cylinder Engine Diesel Fuel,A/T,Reported,Yes,73995
2428,Nissan,Altima 2.5 SV,2020,22295,Gasoline,2.5L I4 16V GDI DOHC,Automatic CVT,None,Unknown,23599
2429,Bentley,Continental GT V8,2020,33000,Gasoline,542.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,None,Yes,188500
2430,Toyota,Sequoia Platinum,2023,1025,Hybrid,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,None,Yes,85000
2431,Acura,TL Technology,2013,89190,Gasoline,305.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Reported,Yes,15499
2432,Toyota,Highlander Limited,2020,53550,Gasoline,3.5L V6 24V PDI DOHC,8-Speed Automatic,None,Yes,39687
2433,Ford,Edge SEL,2021,56946,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,None,Yes,26299
2434,Jaguar,F-TYPE R,2016,11684,Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None,Yes,54900
2435,GMC,Yukon XL Denali,2018,45617,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,None,Yes,51000
2436,Chevrolet,Suburban LT,2018,75466,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,None,Yes,34500
2437,Maserati,Levante GTS,2021,19513,Gasoline,3.8L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,Reported,Yes,84645
2438,Subaru,Outback Limited,2021,15636,Gasoline,2.5L H4 16V GDI DOHC,Automatic CVT,None,Unknown,33531
2439,Mercedes-Benz,S-Class S 450,2018,69600,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,None,Yes,40888
2440,Mercedes-Benz,GL-Class GL 450,2011,138050,Gasoline,335.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,None,Yes,16500
2441,Ford,F-250 Lariat,2017,132269,E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,None,Yes,35900
2442,Hyundai,Palisade Limited,2020,45815,Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None,Yes,37700
2443,Ford,F-150 XLT,2021,25352,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,None,Yes,48459
2444,Mercedes-Benz,R-Class R 350 4MATIC,2008,120000,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,None,Yes,8995
2445,Chevrolet,Camaro 2SS,2018,75151,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Reported,Yes,45000
2446,Jeep,Wrangler Sport,2016,74139,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,None,Yes,23000
2447,Chevrolet,1500 Cheyenne,1994,170443,–,–,A/T,Reported,Yes,6000
2448,Jaguar,XJ6 Vanden Plas,1995,70000,–,–,A/T,None,Yes,19000
2449,BMW,550 i xDrive,2012,68500,Gasoline,400.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None,Yes,17800
2450,Lexus,GX 460 Luxury,2020,37366,Gasoline,4.6L V8 32V MPFI DOHC,6-Speed Automatic,Unknown,Unknown,51890
2451,Tesla,Model S Long Range,2021,35315,Gasoline,670.0HP Electric Motor Electric Fuel System,1-Speed A/T,None,Yes,66900
2452,Volkswagen,Jetta 1.4T SE,2017,61000,Gasoline,150.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,A/T,None,Yes,15995
2453,Jeep,Grand Cherokee Limited,2022,12050,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,None,Unknown,41599
2454,Jaguar,XK8 Base,2001,150000,Gasoline,290.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Reported,Yes,9875
2455,Porsche,Macan S,2016,46200,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Reported,Yes,41500
2456,Mercedes-Benz,E-Class E 350,2014,88000,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,None,Yes,15500
2457,Mercedes-Benz,GL-Class GL 450 4MATIC,2015,47000,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,None,Yes,30089
2458,Land,Rover Range Rover 3.0L Supercharged HSE,2017,50340,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Reported,Yes,47000
2459,Mercedes-Benz,E-Class E 350 4MATIC,2010,67800,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,None,Yes,13999
2460,Dodge,Dakota Sport,2002,150000,Gasoline,175.0HP 3.9L V6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Reported,Yes,5500
2461,Chevrolet,Camaro ZL1,2018,13500,Gasoline,650.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Reported,Yes,54000
2462,Hummer,H3 Base,2007,101750,Gasoline,242.0HP 3.7L 5 Cylinder Engine Gasoline Fuel,A/T,None,Yes,12900
2463,Honda,Odyssey EX-L,2022,18385,Gasoline,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,None,Yes,37950
2464,Nissan,350Z Touring,2008,123500,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Reported,Yes,13500
2465,GMC,Savana 2500 Work Van,2017,117000,E85 Flex Fuel,342.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,None,Yes,38000
2466,Mercedes-Benz,E-Class E 350 4MATIC,2010,86121,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,None,Yes,13600
2467,Lexus,GX 460 Premium,2020,22466,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,None,Yes,45900
2468,Nissan,Titan XD SV,2017,80000,Gasoline,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,None,Yes,23800
2469,Chrysler,300 Touring,2020,23152,Gasoline,292.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None,Yes,28250
2470,Dodge,Charger R/T,2006,91300,Gasoline,350.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,None,Yes,9200
2471,Nissan,Pathfinder SL,2020,45000,Gasoline,284.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,None,Yes,28999
2472,Rivian,R1S Launch Edition,2023,1885,Gasoline,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,None,Yes,93500
2473,Ford,Explorer Platinum,2018,73049,Gasoline,3.5L V6 24V GDI DOHC Twin Turbo,6-Speed Automatic,Reported,Yes,30510
2474,Nissan,Titan SV,2021,7250,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,None,Yes,38000
2475,Jaguar,E-PACE S,2019,44000,Gasoline,246.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,None,Yes,29000
2476,Ford,F-150 FX4,2014,85500,Gasoline,411.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None,Yes,26900
2477,GMC,Acadia Denali,2021,18083,Gasoline,3.6L V6 24V GDI DOHC,9-Speed Automatic,None,Yes,43999
2478,Lamborghini,Murcielago Base,2005,22703,Gasoline,571.0HP 6.2L 12 Cylinder Engine Gasoline Fuel,M/T,None,Yes,220000
2479,Chevrolet,Camaro 1LT,2011,111000,Gasoline,312.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,None,Yes,10900
2480,GMC,Acadia SLT-2,2013,115000,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,None,Yes,14000
2481,Chevrolet,Malibu Premier,2021,33400,Gasoline,250.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,None,Yes,28000
2482,Toyota,Sequoia SR5,2007,136000,Gasoline,273.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,None,Yes,12500
2483,Lexus,IS 350 F Sport,2021,26800,Gasoline,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None,Yes,44000
2484,Tesla,Model Y Performance,2022,30000,Gasoline,455.0HP Electric Motor Electric Fuel System,A/T,None,Yes,51999
2485,Dodge,Challenger SRT8,2008,251634,Gasoline,425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel,A/T,None,Yes,10500
2486,Chrysler,300 Touring,2005,119000,Gasoline,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,None,Yes,3500
2487,Cadillac,Escalade Sport Platinum,2021,28121,Gasoline,6.2L V8 16V GDI OHV,10-Speed Automatic,None,Unknown,89000
2488,Chrysler,Town & Country Touring,2009,111000,Gasoline,197.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,None,Yes,7900
2489,Mazda,CX-5 Touring,2016,116500,Gasoline,2.5L I4 16V GDI DOHC,6-Speed Automatic,None,Yes,14311
2490,Acura,TL 3.2,2005,199296,Gasoline,270.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,A/T,None,Yes,4900
2491,Chevrolet,Corvette Z06 w/2LZ,2023,202,Gasoline,670.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None,Yes,179000
2492,Tesla,Model Y Performance,2021,11200,Gasoline,455.0HP Electric Motor Electric Fuel System,1-Speed A/T,None,Yes,47500
2493,Volvo,XC40 T5 Momentum,2020,56536,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,None,Unknown,26599
2494,Chevrolet,Camaro 2SS,2016,49600,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None,Yes,32500
2495,Acura,TLX Type S PMC Edition,2023,13600,Gasoline,355.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,None,Yes,65000
2496,Volkswagen,Eos 2.0T,2007,59700,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,None,Yes,10000
2497,Dodge,Charger R/T Scat Pack,2018,19000,Gasoline,485.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None,Yes,44888
2498,Chevrolet,Corvette Z06,2002,17300,Gasoline,405.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,None,Yes,33999
2499,Mercedes-Benz,CLA-Class CLA 250,2014,91140,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,None,Yes,13500
2500,BMW,M5 Base,2015,33000,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,None,Yes,65000
2501,Jeep,Wrangler Unlimited Sport,2019,52775,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None,Yes,39799
2502,Mitsubishi,Lancer Sportback ES,2011,113000,Gasoline,148.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,None,Yes,5800
2503,Porsche,Macan Base,2022,13000,Gasoline,261.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,None,Yes,60000
2504,Mercedes-Benz,CLK-Class CLK 350,2009,77925,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None,Yes,16500
2505,Dodge,Challenger SRT8,2011,106500,–,–,5-Speed A/T,Reported,Yes,22500
2506,Mazda,Mazda3 Grand Touring,2018,15175,Gasoline,2.5L I4 16V GDI DOHC,6-Speed Automatic,Reported,Unknown,19212
2507,Audi,A3 2.0T Premium,2017,137000,Gasoline,186.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,None,Yes,10995
2508,BMW,528 i,2015,111000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Reported,Yes,15000
2509,Land,Rover Range Rover 3.0L V6 Supercharged HSE,2019,49208,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None,Yes,62425
2510,Audi,S5 3.0T Prestige,2018,44000,Gasoline,354.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,None,Yes,39000
2511,Porsche,718 Boxster Base,2017,26000,Gasoline,300.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,None,Yes,45500
2512,Chevrolet,Corvette Stingray w/2LT,2020,1800,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,None,Yes,76000
2513,Lamborghini,Urus Pearl Capsule,2021,3771,Gasoline,"4L V-8 gasoline direct injection, DOHC, variable valve control,",Automatic,None,Unknown,259991
2514,Maserati,Quattroporte S,2012,50000,Gasoline,425.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,None,Yes,26497
2515,Subaru,Impreza 2.0i,2018,93000,Gasoline,152.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Reported,Yes,16000
2516,Mercedes-Benz,AMG GT C,2020,15000,Gasoline,550.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,None,Yes,129000
2517,Mazda,Mazda6 i Touring,2016,119500,Gasoline,184.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,None,Yes,15000
